ENDF-6 File: /g/g19/walsh23/data/evaluations/endf-7.1/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  5.0000000000000001E-03
Energies:          64
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  4.8033003473033721E+04  1.3840864756250458E+01  1.3416207449172115E+01  4.1836793763254831E-01  6.2893694457848435E-03  0.0000000000000000E+00
  5.1344115420869559E+04  1.3750747413045351E+01  1.3339162112680539E+01  4.0499487267742867E-01  6.0399138040182930E-03  5.5051388336435278E-04
  5.4883475896558899E+04  1.3696591585493277E+01  1.3295534399232391E+01  3.9373975709380499E-01  5.8206942710459664E-03  1.4967348960367647E-03
  5.8666819007340615E+04  1.3618248218158126E+01  1.3228909981865895E+01  3.7972289464370668E-01  5.6076354982019291E-03  4.0077061503160320E-03
  6.2710963477002697E+04  1.3582165595755315E+01  1.3199173229906206E+01  3.6970629341344546E-01  5.3387193513109278E-03  7.9473530843539655E-03
  6.7033887412949683E+04  1.3527766444445259E+01  1.3153660332023613E+01  3.5577512862568972E-01  5.1486713240790228E-03  1.3182312471886583E-02
  7.1654808227270827E+04  1.3426840523213544E+01  1.3057693161494733E+01  3.4325615064464604E-01  4.8877380057450095E-03  2.1003473068406091E-02
  7.6594268067095341E+04  1.3365708040488649E+01  1.2999647734706395E+01  3.3081800686921775E-01  4.6814417238423721E-03  3.0560857189215529E-02
  8.1874225134012537E+04  1.3331738500959005E+01  1.2964964694069289E+01  3.1893838447091766E-01  4.4318251019075895E-03  4.3403597316889926E-02
  8.7518151298513694E+04  1.3236828300008458E+01  1.2871603343888157E+01  3.0377047401812768E-01  4.1424443860098841E-03  5.7312037716170133E-02
  9.3551136443398500E+04  1.3185561729891878E+01  1.2814029291292639E+01  2.9173391007879890E-01  3.8920335193616917E-03  7.5906495001072563E-02
  1.0000000000000003E+05  1.3118664519100509E+01  1.2740730697176497E+01  2.7832688794094090E-01  3.6648691782653732E-03  9.5942064804808880E-02
         Max 1sigma/Mean  6.0993162209131120E-03  6.2305259060188630E-03  7.0505000284870967E-03  1.2790215706250252E-02  4.8128160720088894E-03
